State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min Price,Max Price,Modal Price
Himachal Pradesh,Kangra,Palampur,Carrot,Carrot,FAQ,7/27/2023,3000,3500,3250
Kerala,Alappuzha,Harippad,Carrot,Other,FAQ,7/27/2023,6000,6500,6000
Punjab,Amritsar,Mehta,Carrot,Carrot,FAQ,7/27/2023,2300,2300,2300
Gujarat,Dahod,Dahod(Veg. Market),Carrot,Carrot,FAQ,7/28/2023,6500,7500,7000
Gujarat,Rajkot,Gondal(Veg.market Gondal),Carrot,Carrot,FAQ,7/28/2023,2000,3000,2500
Gujarat,Surat,Surat,Carrot,Other,FAQ,7/28/2023,1200,2000,1600
Gujarat,Surendranagar,Vadhvan,Carrot,Carrot,FAQ,7/28/2023,2500,3000,2750
Haryana,Ambala,Ambala Cantt.,Carrot,Carrot,FAQ,7/28/2023,1000,1500,1200
Himachal Pradesh,Chamba,Chamba,Carrot,Other,FAQ,7/28/2023,3500,4000,3750
Himachal Pradesh,Hamirpur,Hamirpur,Carrot,Other,FAQ,7/28/2023,3500,4000,3700
Himachal Pradesh,Hamirpur,Hamirpur(Nadaun),Carrot,Other,FAQ,7/28/2023,3500,4000,3750
Himachal Pradesh,Kangra,Kangra,Carrot,Other,FAQ,7/28/2023,3000,3500,3250
Himachal Pradesh,Kangra,Kangra(Jaisinghpur),Carrot,Carrot,FAQ,7/28/2023,3200,3600,3400
Himachal Pradesh,Kangra,Palampur,Carrot,Carrot,FAQ,7/28/2023,3000,3500,3250
Himachal Pradesh,Kullu,Bhuntar,Carrot,Other,FAQ,7/28/2023,2000,2200,2100
Himachal Pradesh,Mandi,Mandi(Mandi),Carrot,Carrot,FAQ,7/28/2023,1000,3500,2500
Himachal Pradesh,Sirmore,Paonta Sahib,Carrot,Other,FAQ,7/28/2023,3000,4000,3500
Himachal Pradesh,Solan,Solan,Carrot,Other,FAQ,7/28/2023,2000,2500,2200
Jammu and Kashmir,Srinagar,Parimpore,Carrot,Other,FAQ,7/28/2023,2500,3000,2800
Karnataka,Bangalore,Ramanagara,Carrot,Carrot,FAQ,7/28/2023,4000,6000,5000
Karnataka,Chamrajnagar,Chamaraj Nagar,Carrot,Carrot,FAQ,7/28/2023,2500,3000,2700
Karnataka,Chikmagalur,Bagepalli,Carrot,Carrot,FAQ,7/28/2023,1000,1500,1300
Karnataka,Chikmagalur,Chikkamagalore,Carrot,Other,FAQ,7/28/2023,2917,2917,2917
Karnataka,Kolar,Bangarpet,Carrot,Carrot,FAQ,7/28/2023,1500,3000,2200
