State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min Price,Max Price,Modal Price
Himachal Pradesh,Kangra,Palampur,Banana,Banana - Ripe,Medium,07/27/2023,3500,4000,3750
Kerala,Alappuzha,Harippad,Banana,Nendra Bale,Medium,07/27/2023,5000,5500,5000
Uttrakhand,Dehradoon,Vikasnagar,Banana,Other,Medium,07/27/2023,1000,1500,1500
Bihar,Kishanganj,Bahadurganj,Banana,Amruthapani,Medium,07/28/2023,2400,2600,2500
Chattisgarh,Bilaspur,Tiphra,Banana,Banana - Ripe,Large,07/28/2023,3000,3300,3200
Chattisgarh,Rajnandgaon,Rajnandgaon,Banana,Banana - Ripe,Medium,07/28/2023,3000,6000,4500
Gujarat,Banaskanth,Deesa(Deesa Veg Yard),Banana,Other,Medium,07/28/2023,2750,3400,3075
Gujarat,Porbandar,Porbandar,Banana,Amruthapani,Large,07/28/2023,2000,2500,2250
Gujarat,Rajkot,Gondal(Veg.market Gondal),Banana,Banana - Ripe,Medium,07/28/2023,2000,2600,2300
Haryana,Ambala,Barara,Banana,Other,Medium,07/28/2023,2200,2300,2200
Haryana,Fatehabad,Jakhal,Banana,Other,Medium,07/28/2023,3500,3500,3500
Haryana,Gurgaon,Pataudi,Banana,Other,Large,07/28/2023,4200,4500,4400
Haryana,Hissar,Barwala(Hisar),Banana,Other,Medium,07/28/2023,1400,1500,1500
Haryana,Jind,Narwana,Banana,Other,Medium,07/28/2023,1600,1600,1600
Haryana,Kurukshetra,Ladwa,Banana,Other,Medium,07/28/2023,2500,3000,2750
Haryana,Kurukshetra,Shahabad,Banana,Banana - Ripe,Medium,07/28/2023,2500,3190,2700
Haryana,Mahendragarh-Narnaul,Mohindergarh,Banana,Banana - Ripe,Medium,07/28/2023,1500,2000,1750
Haryana,Mahendragarh-Narnaul,Narnaul,Banana,Other,Medium,07/28/2023,1500,2500,2500
Haryana,Palwal,Hassanpur,Banana,Other,Medium,07/28/2023,800,800,800
Haryana,Panchkula,"New Grain Market , Panchkula",Banana,Other,Large,07/28/2023,5000,7000,6000
Haryana,Rewari,Kosli,Banana,Other,Medium,07/28/2023,1800,1800,1800
Haryana,Rewari,Rewari,Banana,Other,Medium,07/28/2023,1100,3200,2200
Haryana,Sirsa,Sirsa,Banana,Other,Medium,07/28/2023,1800,1800,1800
Haryana,Sonipat,Ganaur,Banana,Banana - Ripe,Medium,07/28/2023,3000,4000,3500
